user_id,name,city,segment,dietary_preference,veg_days,rfm_recency,rfm_frequency,rfm_monetary,order_count,avg_order_value,favourite_cuisines
U00001,Nathaniel Sami,Bangalore,Budget,none,[],8,26,300,37,186,"[""Street Food"", ""North Indian"", ""Mughlai""]"
U00002,Lekha Raj,Pune,Budget,veg,[],4,22,257,42,203,"[""Italian"", ""South Indian"", ""Mughlai""]"
U00003,Zayan Apte,Delhi,Budget,veg,[],3,11,259,42,276,"[""Continental"", ""Street Food"", ""Cafe""]"
U00004,Amara Oak,Pune,Premium,veg,[],6,19,925,32,519,"[""Italian"", ""Continental""]"
U00005,Chaaya Saran,Kolkata,Premium,non-veg,[],5,7,1150,31,968,"[""Continental"", ""Chinese"", ""Italian""]"
U00006,Sudiksha Aggarwal,Pune,Family,veg,[1],7,12,1239,39,918,"[""Desserts & Bakery"", ""Mughlai"", ""North Indian""]"
U00007,Xiti Gokhale,Mumbai,Premium,veg,[],1,11,1033,11,616,"[""Biryani"", ""Street Food"", ""Mughlai""]"
U00008,Chanchal Tripathi,Delhi,Premium,non-veg,[6],2,10,1008,24,576,"[""Italian""]"
U00009,Michael Prakash,Kolkata,Family,veg,[],5,10,827,37,565,"[""Mughlai"", ""Chinese"", ""North Indian""]"
U00010,Aadi Naik,Delhi,Budget,none,[],1,27,310,27,294,"[""Chinese"", ""Italian"", ""Continental""]"
U00011,Anirudh Choudhury,Hyderabad,Occasional,non-veg,[],18,2,278,2,454,"[""Cafe"", ""South Indian""]"
U00012,Damyanti Khatri,Mumbai,Occasional,veg,[1],43,2,393,2,338,"[""Mughlai"", ""South Indian"", ""Continental""]"
U00013,Wridesh Brar,Chennai,Budget,veg,[],8,13,187,47,171,"[""Continental""]"
U00014,Vedika Biswas,Delhi,Family,non-veg,"[3, 4, 6]",7,19,756,28,555,"[""Street Food"", ""Biryani"", ""North Indian""]"
U00015,Kabir Soman,Kolkata,Budget,non-veg,[3],4,20,240,32,298,"[""Biryani"", ""North Indian""]"
U00016,Alka Wable,Bangalore,Budget,non-veg,[],8,29,327,35,175,"[""Street Food"", ""Desserts & Bakery""]"
U00017,Siddharth Zacharia,Kolkata,Family,none,[],9,18,948,35,1074,"[""Street Food""]"
U00018,Devika Rastogi,Bangalore,Health,veg,[2],12,10,556,9,380,"[""Chinese"", ""Street Food"", ""South Indian""]"
U00019,Raksha Varughese,Mumbai,Budget,non-veg,[],5,13,265,39,185,"[""South Indian"", ""Biryani"", ""Italian""]"
U00020,Jai Kota,Mumbai,Budget,non-veg,[],6,12,167,34,198,"[""Biryani""]"
U00021,Devansh Nigam,Lucknow,Family,non-veg,[],2,17,1154,15,781,"[""Desserts & Bakery""]"
U00022,Victor Kannan,Bangalore,Premium,veg,[],3,17,951,19,986,"[""Biryani"", ""Italian""]"
